YEAR,DATA_VALUE,CATEGORY,INDICATOR_NAME,SIGN,INDICATOR_TYPE
2022,253,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
1997,447,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2000,504,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2020,257,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2009,339,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2011,326,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
1999,527,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2008,334,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2024,198,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2016,324,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2018,315,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2003,390,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2023,214,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
1996,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
1997,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
1998,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
1999,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2000,1,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2001,1,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2002,1,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2003,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2004,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2005,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2006,1,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2007,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2008,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2009,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2010,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2011,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2012,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2013,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2014,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2015,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2016,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2017,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2018,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2019,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2020,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2021,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2022,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2023,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2024,2,Commercial,AVGPRICE_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
1996,34112720,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
1997,47595536,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
1998,58193972,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
1999,57594892,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2000,42790036,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2001,35085280,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2002,39370744,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2003,32500810,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2004,35999640,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2005,44188864,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2006,41340328,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2007,33950964,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2008,33357456,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2009,26344694,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2010,22089634,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2011,34047828,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2012,42121180,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2013,35014868,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2014,33708544,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2015,40158512,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2016,63904420,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2017,31830526,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2018,47363448,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2019,51670536,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2020,30381514,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2021,37956580,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2022,64169900,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2023,39652832,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2024,32128796,Commercial,TOTALANNUALREV_LONGFINSQUID_2024Dols,N/A,Socioeconomic
2007,3,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2008,4,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2009,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2010,3,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2011,4,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2012,4,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2013,4,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2014,4,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2015,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2016,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2017,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2018,3,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2019,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2020,1,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2021,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2022,4,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2023,3,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
2024,2,Commercial,AVGANNUAL_DIESEL_PRICE2024dols,N/A,Socioeconomic
1996,77178,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
1997,106478,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
1998,118280,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
1999,109288,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2000,84901,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2001,79378,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2002,92203,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2003,83335,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2004,101123,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2005,128831,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2006,107938,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2007,94308,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2008,99873,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2009,77713,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2010,67142,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2011,104441,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2012,124251,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2013,116328,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2014,100623,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2015,127487,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2016,196629,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2017,98853,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2018,150360,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2019,181939,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2020,118216,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2021,142694,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2022,252637,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2023,185294,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
2024,162267,Commercial,AVGVESREVperYr_LONGFINSQUID_2024_DOLlb,N/A,Socioeconomic
